#SCREEN_ID,IDENTIFIER_ID,IDENTIFIER_TYPE,OFFICIAL_SYMBOL,ALIASES,ORGANISM_ID,ORGANISM_OFFICIAL,SCORE.1,SCORE.2,SCORE.3,SCORE.4,SCORE.5,HIT,SOURCE
1247,84962,ENTREZ_GENE,AJUBA,JUB,9606,Homo sapiens,5.05,1.03e-10,9.74e-09,-,-,YES,BioGRID ORCS
1247,4763,ENTREZ_GENE,NF1,NFNS|VRNF|WSS,9606,Homo sapiens,5.54,8.24e-11,8.54e-09,-,-,YES,BioGRID ORCS
1247,9439,ENTREZ_GENE,MED23,ARC130|CRSP130|CRSP133|CRSP3|DRIP130|MRT18|SUR-2|SUR2,9606,Homo sapiens,5.62,1.14e-10,1.04e-08,-,-,YES,BioGRID ORCS
1247,1969,ENTREZ_GENE,EPHA2,ARCC2|CTPA|CTPP1|CTRCT6|ECK,9606,Homo sapiens,6.06,6.61e-13,3.73e-10,-,-,YES,BioGRID ORCS
1247,65980,ENTREZ_GENE,BRD9,LAVS3040|PRO9856|FLJ13441,9606,Homo sapiens,6.37,8.7e-11,8.77e-09,-,-,YES,BioGRID ORCS
1247,9475,ENTREZ_GENE,ROCK2,ROCK-II,9606,Homo sapiens,6.56,3.37e-12,1.02e-09,-,-,YES,BioGRID ORCS
1247,5728,ENTREZ_GENE,PTEN,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|TEP1,9606,Homo sapiens,7.06,1.25e-10,1.12e-08,-,-,YES,BioGRID ORCS
1247,79016,ENTREZ_GENE,DDA1,C19orf58|PCIA1,9606,Homo sapiens,7.08,1.78e-12,6.71e-10,-,-,YES,BioGRID ORCS
1247,29104,ENTREZ_GENE,N6AMT1,C21orf127|HEMK2|MTQ2|N6AMT|PRED28|m.HsaHemK2P,9606,Homo sapiens,7.41,2.01e-10,1.62e-08,-,-,YES,BioGRID ORCS
1247,405,ENTREZ_GENE,ARNT,HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2,9606,Homo sapiens,8.46,2.34e-13,2.39e-10,-,-,YES,BioGRID ORCS
1247,1810,ENTREZ_GENE,DR1,NC2|NC2-BETA|NC2B|NCB2,9606,Homo sapiens,8.82,1.38e-12,5.52e-10,-,-,YES,BioGRID ORCS
1247,4771,ENTREZ_GENE,NF2,ACN|BANF|SCH|merlin,9606,Homo sapiens,9.53,2.78e-10,2.11e-08,-,-,YES,BioGRID ORCS
1247,9862,ENTREZ_GENE,MED24,ARC100|CRSP100|CRSP4|DRIP100|MED5|THRAP4|TRAP100|KIAA0130,9606,Homo sapiens,9.61,1.14e-12,5.06e-10,-,-,YES,BioGRID ORCS
1247,54206,ENTREZ_GENE,ERRFI1,GENE-33|MIG-6|MIG6|RALT,9606,Homo sapiens,10.35,3.52e-13,3.06e-10,-,-,YES,BioGRID ORCS
1247,9044,ENTREZ_GENE,BTAF1,MOT1|TAF(II)170|TAF172|TAFII170|TAF-172,9606,Homo sapiens,12.86,1.11e-14,1.67e-10,-,-,YES,BioGRID ORCS
