#IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	1247-SCORE.1	1247-SCORE.2	1247-SCORE.3	1247-SCORE.4	1247-SCORE.5	1247-HIT
114787	ENTREZ_GENE	GPRIN1	GRIN1|KIAA1893	9606	Homo sapiens	0.71	0.464035568	0.652706893	-	-	NO
114786	ENTREZ_GENE	XKR4	XRG4|KIAA1889	9606	Homo sapiens	2.12	0.009737814	0.041446854	-	-	NO
114785	ENTREZ_GENE	MBD6	KIAA1887	9606	Homo sapiens	-1.87	0.006484564	0.030140711	-	-	NO
114784	ENTREZ_GENE	CSMD2	dJ1007G16.1|dJ1007G16.2|dJ947L8.1|KIAA1884	9606	Homo sapiens	-0.61	0.69447979	0.824290252	-	-	NO
114783	ENTREZ_GENE	LMTK3	LMR3|PPP1R101|TYKLM3|KIAA1883	9606	Homo sapiens	-0.64	0.204530345	0.386322298	-	-	NO
221545	ENTREZ_GENE	C6orf136	Em:AB023049.8	9606	Homo sapiens	-0.2	0.660250869	0.803259697	-	-	NO
114781	ENTREZ_GENE	BTBD9	dJ322I12.1|KIAA1880	9606	Homo sapiens	-2.16	0.031485866	0.102797851	-	-	NO
114780	ENTREZ_GENE	PKD1L2	PC1L2|KIAA1879	9606	Homo sapiens	-0.2	0.674922442	0.812360751	-	-	NO
143888	ENTREZ_GENE	KDELC2	POGLUT3	9606	Homo sapiens	-0.37	0.284756549	0.47856715	-	-	NO
114789	ENTREZ_GENE	SLC25A25	MCSC|PCSCL|SCAMC-2|KIAA1896	9606	Homo sapiens	-2.73	0.003347307	0.017660358	-	-	YES
153918	ENTREZ_GENE	ZC2HC1B	C6orf94|FAM164B|dJ468K18.5	9606	Homo sapiens	0.1	0.820752	0.904642935	-	-	NO
84206	ENTREZ_GENE	MEX3B	MEX-3B|RKHD3|RNF195|DKFZp434J0617	9606	Homo sapiens	0.75	0.470809521	0.658481303	-	-	NO
28996	ENTREZ_GENE	HIPK2	PRO0593	9606	Homo sapiens	-2.19	0.001985071	0.01153099	-	-	NO
28991	ENTREZ_GENE	COMMD5	HCARG|HT002|FLJ13008	9606	Homo sapiens	-4.59	4.99e-09	2.05e-07	-	-	YES
148156	ENTREZ_GENE	ZNF558	FLJ30932	9606	Homo sapiens	-0.82	0.012209461	0.04930137	-	-	NO
28992	ENTREZ_GENE	MACROD1	LRP16	9606	Homo sapiens	-1.73	0.013408849	0.05313582	-	-	NO
100533952	ENTREZ_GENE	RBAK-RBAKDN	RBAK-LOC389458	9606	Homo sapiens	-1.85	0.002509365	0.013992543	-	-	NO
28999	ENTREZ_GENE	KLF15	KKLF	9606	Homo sapiens	-0.68	0.043273233	0.130393545	-	-	NO
28998	ENTREZ_GENE	MRPL13	L13|L13A|L13mt|RPL13|RPML13	9606	Homo sapiens	-7.31	1.78e-11	2.92e-09	-	-	YES
55349	ENTREZ_GENE	CHDH	-	9606	Homo sapiens	1.2	0.191433714	0.369631957	-	-	NO
83893	ENTREZ_GENE	SPATA16	NYD-SP12|SPGF6	9606	Homo sapiens	-1.6	0.038632755	0.119582133	-	-	NO
55290	ENTREZ_GENE	BRF2	BRFU|TFIIIB50|FLJ11052	9606	Homo sapiens	-2.29	0.000114595	0.001031254	-	-	NO
55291	ENTREZ_GENE	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3|DKFZp781O2362|FLJ11058|KIAA1558|DKFZp781E17107|FLJ43065|DKFZp781E2374	9606	Homo sapiens	0.11	0.690952992	0.82230068	-	-	NO
55296	ENTREZ_GENE	TBC1D19	FLJ11082	9606	Homo sapiens	-1.09	0.168485426	0.338766674	-	-	NO
55297	ENTREZ_GENE	CCDC91	HSD8|p56|DKFZp779L1558|FLJ11088	9606	Homo sapiens	0.12	0.473541414	0.660617372	-	-	NO
55294	ENTREZ_GENE	FBXW7	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4|FLJ11071	9606	Homo sapiens	0.37	0.775230509	0.876683025	-	-	NO
146547	ENTREZ_GENE	PRSS36	FLJ90661	9606	Homo sapiens	-0.41	0.151727073	0.315576015	-	-	NO
5982	ENTREZ_GENE	RFC2	RFC40	9606	Homo sapiens	-4.78	4.35e-07	8.59e-06	-	-	YES
5983	ENTREZ_GENE	RFC3	RFC38	9606	Homo sapiens	-5.51	2.31e-11	3.5e-09	-	-	YES
5980	ENTREZ_GENE	REV3L	POLZ|REV3	9606	Homo sapiens	-2.43	1.92e-06	3.03e-05	-	-	NO
51264	ENTREZ_GENE	MRPL27	L27mt	9606	Homo sapiens	-4.33	5.03e-08	1.39e-06	-	-	YES
51263	ENTREZ_GENE	MRPL30	L28MT|L30MT|MRP-L28|MRP-L30|MRPL28|MRPL28M|RPML28	9606	Homo sapiens	-1.68	0.00106069	0.006850632	-	-	NO
5987	ENTREZ_GENE	TRIM27	RFP|RNF76	9606	Homo sapiens	-0.71	0.548919161	0.721168696	-	-	NO
5984	ENTREZ_GENE	RFC4	A1|RFC37	9606	Homo sapiens	-5.09	5.2e-10	3.46e-08	-	-	YES
5985	ENTREZ_GENE	RFC5	RFC36	9606	Homo sapiens	-4.29	0.000104391	0.000952714	-	-	YES
55616	ENTREZ_GENE	ASAP3	ACAP4|CENTB6|DDEFL1|UPLC1|FLJ20199	9606	Homo sapiens	-0.3	0.22580836	0.412578944	-	-	NO
83890	ENTREZ_GENE	SPATA9	NYD-SP16|FLJ35906	9606	Homo sapiens	-0.53	0.190915566	0.368880826	-	-	NO
55345	ENTREZ_GENE	ZGRF1	C4orf21|FLJ11331	9606	Homo sapiens	-0.46	0.375578693	0.572894313	-	-	NO
146542	ENTREZ_GENE	ZNF688	-	9606	Homo sapiens	-1.36	0.106514879	0.247271464	-	-	NO
64711	ENTREZ_GENE	HS3ST6	3-OST-6|HS3ST5	9606	Homo sapiens	1.11	0.010174823	0.042914103	-	-	NO
55346	ENTREZ_GENE	TCP11L1	dJ85M6.3|FLJ11336	9606	Homo sapiens	0.16	0.996416512	0.997963665	-	-	NO
83896	ENTREZ_GENE	KRTAP3-1	KAP3.1|KRTAP3.1	9606	Homo sapiens	-0.96	0.135936438	0.293192213	-	-	NO
51479	ENTREZ_GENE	ANKFY1	ANKHZN|BTBD23|ZFYVE14|KIAA1255|RANK-5	9606	Homo sapiens	0.93	0.062226913	0.169960508	-	-	NO
55347	ENTREZ_GENE	ABHD10	FLJ11342	9606	Homo sapiens	-0.29	0.740123029	0.855017626	-	-	NO
83895	ENTREZ_GENE	KRTAP1-5	KAP1.5|KRTAP1.5	9606	Homo sapiens	-0.08	0.834166116	0.912072707	-	-	NO
57480	ENTREZ_GENE	PLEKHG1	ARHGEF41|KIAA1209	9606	Homo sapiens	1.29	0.171459725	0.342576804	-	-	NO
339883	ENTREZ_GENE	C3orf35	APRG1	9606	Homo sapiens	-2.09	0.005980523	0.028271049	-	-	NO
