#BioGRID Interaction ID,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System,Publication Source,Organism ID Interactor A,Organism ID Interactor B
2327799,MTOR,TP53,Synthetic Lethality,PUBMED:27438146,9606,9606
2327800,KDR,TP53,Synthetic Lethality,PUBMED:27438146,9606,9606
2327801,EGFR,TP53,Synthetic Lethality,PUBMED:27438146,9606,9606
3477135,TP53,UROS,Synthetic Lethality,PUBMED:24378760,9606,9606
3477136,TP53,GYPC,Synthetic Lethality,PUBMED:24378760,9606,9606
3477137,TP53,PRO1596,Synthetic Lethality,PUBMED:24378760,9606,9606
3477138,TP53,CD69,Synthetic Lethality,PUBMED:24378760,9606,9606
3477139,TP53,PDXP,Synthetic Lethality,PUBMED:24378760,9606,9606
3477140,TP53,THADA,Synthetic Lethality,PUBMED:24378760,9606,9606
3477141,TP53,KCNJ10,Synthetic Lethality,PUBMED:24378760,9606,9606
3477142,TP53,ABCA12,Synthetic Lethality,PUBMED:24378760,9606,9606
3477143,TP53,UBA6,Synthetic Lethality,PUBMED:24378760,9606,9606
3477144,TP53,CDC7,Synthetic Lethality,PUBMED:24378760,9606,9606
3477145,TP53,ID1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477146,TP53,CTBS,Synthetic Lethality,PUBMED:24378760,9606,9606
3477147,TP53,EIF2B3,Synthetic Lethality,PUBMED:24378760,9606,9606
3477148,TP53,UFM1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477149,TP53,PTCD1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477150,TP53,TPCN2,Synthetic Lethality,PUBMED:24378760,9606,9606
3477151,TP53,NEURL1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477152,TP53,STEAP4,Synthetic Lethality,PUBMED:24378760,9606,9606
3477153,TP53,C19orf40,Synthetic Lethality,PUBMED:24378760,9606,9606
3477154,TP53,C19orf38,Synthetic Lethality,PUBMED:24378760,9606,9606
3477155,TP53,C14orf37,Synthetic Lethality,PUBMED:24378760,9606,9606
3477156,TP53,NIM1K,Synthetic Lethality,PUBMED:24378760,9606,9606
3477157,TP53,GP6,Synthetic Lethality,PUBMED:24378760,9606,9606
3477158,TP53,BCL2L14,Synthetic Lethality,PUBMED:24378760,9606,9606
3477159,TP53,HILS1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477160,TP53,CLDND2,Synthetic Lethality,PUBMED:24378760,9606,9606
3477161,TP53,UMOD,Synthetic Lethality,PUBMED:24378760,9606,9606
3477162,TP53,RHAG,Synthetic Lethality,PUBMED:24378760,9606,9606
3477163,TP53,GFPT2,Synthetic Lethality,PUBMED:24378760,9606,9606
3477164,TP53,SATL1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477165,TP53,RTN4IP1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477166,TP53,DOK7,Synthetic Lethality,PUBMED:24378760,9606,9606
3477167,TP53,NUP98,Synthetic Lethality,PUBMED:24378760,9606,9606
3477168,TP53,PWWP2A,Synthetic Lethality,PUBMED:24378760,9606,9606
3477169,TP53,MEP1A,Synthetic Lethality,PUBMED:24378760,9606,9606
3477170,TP53,CCT6B,Synthetic Lethality,PUBMED:24378760,9606,9606
3477171,TP53,ZNF300,Synthetic Lethality,PUBMED:24378760,9606,9606
3477172,TP53,DEFB125,Synthetic Lethality,PUBMED:24378760,9606,9606
3477173,TP53,GJA5,Synthetic Lethality,PUBMED:24378760,9606,9606
3477174,TP53,EFNA4,Synthetic Lethality,PUBMED:24378760,9606,9606
3477175,TP53,NMNAT1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477176,TP53,KLHL10,Synthetic Lethality,PUBMED:24378760,9606,9606
3477177,TP53,LMLN,Synthetic Lethality,PUBMED:24378760,9606,9606
3477178,TP53,FBXO22,Synthetic Lethality,PUBMED:24378760,9606,9606
3477179,TP53,ITGB7,Synthetic Lethality,PUBMED:24378760,9606,9606
3477180,TP53,CPN1,Synthetic Lethality,PUBMED:24378760,9606,9606
3477181,TP53,COLQ,Synthetic Lethality,PUBMED:24378760,9606,9606
3477182,TP53,AP3B2,Synthetic Lethality,PUBMED:24378760,9606,9606
3477183,TP53,ANXA11,Synthetic Lethality,PUBMED:24378760,9606,9606
