name,target,moa,avg_ec50,occurrence,min_ec50,max_ec50
gemcitabine,"CMPK1, RRM1, RRM2, TYMS",ribonucleotide reductase inhibitor,0.0031158358254642572,79,1.6604174043028e-05,0.0213625420351388
romidepsin,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.022696989284882913,87,0.0012978980397239,0.39796688297261
JNJ-26481585,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2",HDAC inhibitor,0.045509629963388976,72,0.000305936992519,0.278004763720027
CUDC-907,"HDAC2, PIK3R1",PI3K inhibitor,0.04866161201350485,90,0.0095079933277922,0.400547733499448
panobinostat,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.1657852240350504,172,0.0002127074352137,4.044940838358868
trichostatin-a,"HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.2128570420341688,86,0.0493884982592466,2.05437490906408
dacinostat,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",HDAC inhibitor,0.23967341691308106,90,0.0465352923719624,1.7638494368358
SB-939,"HDAC1, HDAC10, HDAC3, HDAC4, HDAC5, HDAC9",HDAC inhibitor,0.2784486007920252,92,0.0122293623069968,2.18200912730028
cladribine,"ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B","adenosine deaminase inhibitor, ribonucleotide reductase inhibitor",0.4143427971653699,70,0.0243666595069922,1.76768265581492
clofarabine,"POLA1, POLD1, POLE, RRM1, RRM2, RRM2B",ribonucleotide reductase inhibitor,0.4544403558542495,88,0.0144039171192575,1.99837728295621
resminostat,"HDAC1, HDAC3, HDAC6, HDAC8",HDAC inhibitor,0.7265106166481166,154,2.01681389135568e-06,9.577092798262871
