name,target,moa,avg_ec50,occurrence,min_ec50,max_ec50
temsirolimus,MTOR,mTOR inhibitor,0.000255598,1,0.000255598,0.000255598
poziotinib,"EGFR, ERBB2, ERBB4",EGFR inhibitor,0.001422,1,0.001422,0.001422
pralatrexate,"DHFR, TYMS",dihydrofolate reductase inhibitor,0.003144044,4,0.001457425,0.004359149
gefitinib,EGFR,EGFR inhibitor,0.004289897,2,0.002796917,0.005782878
docetaxel,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1",tubulin polymerization inhibitor,0.004622204,13,0.000422876,0.025141927
canertinib,"AKT1, EGFR, ERBB2, ERBB4",EGFR inhibitor,0.00528643,3,0.002771113,0.00692113
paclitaxel,"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1",tubulin polymerization inhibitor,0.006237652,11,0.003011938,0.009864212
filanesib,KIF11,"kinesin inhibitor, kinesin-like spindle protein inhibitor",0.011268762324127506,13,0.002982333,0.026073728
alvespimycin,HSP90AA1,HSP inhibitor,0.012098475453720288,8,0.003249203,0.02040975
NVP-AUY922,"HSP90AA1, HSP90AB1",HSP inhibitor,0.014391634517607405,26,0.003201879,0.052601204
AZD8931,"EGFR, ERBB2, ERBB3",EGFR inhibitor,0.014988114124583701,3,0.000108591,0.027844885
BMS-690514,"EGFR, ERBB2, FLT3, KDR","EGFR inhibitor, VEGFR inhibitor",0.015335944219778101,2,0.007344076,0.023327812
ispinesib,KIF11,kinesin inhibitor,0.019119085,11,0.003792392,0.038894455
elesclomol,HSPA1A,oxidative stress inducer,0.028584344,3,0.013164006,0.045359651
dinaciclib,"CDK1, CDK2, CDK5, CDK9",CDK inhibitor,0.030737844326302156,24,0.005561896,0.092665352
rigosertib,PLK1,"cell cycle inhibitor, PLK inhibitor",0.035100307,12,0.009871723,0.1161959539416836
ganetespib,HSP90AA1,HSP inhibitor,0.035910786,22,0.008560458,0.1233234637590082
