#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
2327799,2475,7157,108757,113010,-,-,MTOR,TP53,FRAP|FRAP1|FRAP2|RAFT1|RAPT1,BCC7|LFS1|P53|TRP53,Synthetic Lethality,genetic,Ye H (2016),PUBMED:27438146,9606,9606,Low Throughput,-,-,drug sensitivity,-,BIOGRID,P42345,-,NP_004949|NP_001373430|NP_001373429,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2327800,3791,7157,109992,113010,-,-,KDR,TP53,CD309|FLK1|VEGFR|VEGFR2,BCC7|LFS1|P53|TRP53,Synthetic Lethality,genetic,Ye H (2016),PUBMED:27438146,9606,9606,Low Throughput,-,-,drug sensitivity,-,BIOGRID,P35968,A0A024RD88,NP_002244,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,-,-,-,-,-,-,Homo sapiens,Homo sapiens
2327801,1956,7157,108276,113010,-,-,EGFR,TP53,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,BCC7|LFS1|P53|TRP53,Synthetic Lethality,genetic,Ye H (2016),PUBMED:27438146,9606,9606,Low Throughput,-,-,drug sensitivity,-,BIOGRID,P00533,-,NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477135,7157,7390,113010,113236,-,RP11-124H7.1,TP53,UROS,BCC7|LFS1|P53|TRP53,UROIIIS,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P10746,Q5T3L8,NP_000366,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477136,7157,2995,113010,109250,-,-,TP53,GYPC,BCC7|LFS1|P53|TRP53,CD236|CD236R|GE|GPC|GPD|GYPD|PAS-2|PAS-2,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P04921,-,NP_001243513|NP_002092|NP_058131,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477137,7157,29013,113010,118822,-,-,TP53,PRO1596,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,-,-,-,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477138,7157,969,113010,107407,-,-,TP53,CD69,BCC7|LFS1|P53|TRP53,AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q07108,Q53ZX0,NP_001772,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477139,7157,57026,113010,121330,-,RP1-37E16.5,TP53,PDXP,BCC7|LFS1|P53|TRP53,CIN|PLP|dJ37E16.5,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q96GD0,A0A024R1I3,NP_064711,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477140,7157,63892,113010,121972,-,-,TP53,THADA,BCC7|LFS1|P53|TRP53,GITA,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q6YHU6,-,NP_001332854|NP_001077422|NP_001332853|NP_001332852|NP_001258573|NP_001258572|NP_071348,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477141,7157,3766,113010,109968,-,-,TP53,KCNJ10,BCC7|LFS1|P53|TRP53,BIRK-10|KCNJ13-PEN|KIR1.2|KIR4.1|SESAME,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P78508,-,NP_002232,-,-,-,-,-,-,Homo sapiens,Homo sapiens
