#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
16305	7157	51741	113010	119707	-	-	TP53	WWOX	BCC7|LFS1|P53|TRP53	D16S432E|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	Two-hybrid	physical	Chang NS (2001)	PUBMED:11058590	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q9NZC7	-	NP_057457|NP_570859|NP_001278926|NP_570607	-	-	-	-	-	-	Homo sapiens	Homo sapiens
16334	7157	8556	113010	114126	-	-	TP53	CDC14A	BCC7|LFS1|P53|TRP53	cdc14|hCDC14	Two-hybrid	physical	Li L (2000)	PUBMED:10644693	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q9UNH5	Q59EF4	NP_201570|NP_201569|NP_003663	-	-	-	-	-	-	Homo sapiens	Homo sapiens
119658	7157	286514	113010	130398	-	-	TP53	MAGEB18	BCC7|LFS1|P53|TRP53	-	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q96M61	-	NP_775970	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121181	1856	7157	108189	113010	-	-	DVL2	TP53	-	BCC7|LFS1|P53|TRP53	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	O14641	-	NP_004413	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243649	7157	7158	113010	113011	-	-	TP53	TP53BP1	BCC7|LFS1|P53|TRP53	53BP1|p202	Co-crystal Structure	physical	Derbyshire DJ (2002)	PUBMED:12110597	9606	9606	Low Throughput	-	-	53BP1 BRCT tandem repeat in complex with the DNA-binding domain of p53;binds to p53 through contacts with the N-terminal BRCT repeat and the inter-BRCT linker;p53 residues involved in this binding are mutated in cancer and are also important for DNA bindi	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q12888	-	NP_005648|NP_001135452|NP_001135451	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243703	7157	578	113010	107054	-	-	TP53	BAK1	BCC7|LFS1|P53|TRP53	BAK|BAK-LIKE|BCL2L7|CDN1	Affinity Capture-Western	physical	Leu JI (2004)	PUBMED:15077116	9606	9606	Low Throughput	-	-	After cell stress, p53 interacts with the pro-apoptotic mitochondrial membrane protein Bak. Interaction of p53 with Bak causes oligomerization of Bak and release of cytochrome c from mitochondria. Notably, we show that formation of the p53-Bak complex coi	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q16611	-	NP_001179	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243704	7157	578	113010	107054	-	-	TP53	BAK1	BCC7|LFS1|P53|TRP53	BAK|BAK-LIKE|BCL2L7|CDN1	Reconstituted Complex	physical	Leu JI (2004)	PUBMED:15077116	9606	9606	Low Throughput	-	-	After cell stress, p53 interacts with the pro-apoptotic mitochondrial membrane protein Bak. Interaction of p53 with Bak causes oligomerization of Bak and release of cytochrome c from mitochondria. Notably, we show that formation of the p53-Bak complex coi	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q16611	-	NP_001179	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243705	7157	578	113010	107054	-	-	TP53	BAK1	BCC7|LFS1|P53|TRP53	BAK|BAK-LIKE|BCL2L7|CDN1	Affinity Capture-MS	physical	Leu JI (2004)	PUBMED:15077116	9606	9606	Low Throughput	-	-	After cell stress, p53 interacts with the pro-apoptotic mitochondrial membrane protein Bak. Interaction of p53 with Bak causes oligomerization of Bak and release of cytochrome c from mitochondria. Notably, we show that formation of the p53-Bak complex coi	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q16611	-	NP_001179	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243811	472	7157	106962	113010	-	-	ATM	TP53	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Kang J (2005)	PUBMED:15632067	9606	9606	Low Throughput	-	-	ATM-dependent phosphorylation of p53 and p53 responses are largely normal in NBS1m/m mice after DNA DSB damage	-	BIOGRID	Q13315	A0A024R3C7	NP_001338763|NP_000042	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243886	7157	641	113010	107110	-	-	TP53	BLM	BCC7|LFS1|P53|TRP53	BS|RECQ2|RECQL2|RECQL3	Affinity Capture-Western	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	BLM facilitated physical interaction between p53 and 53BP1, 53BP1 was required for efficient accumulation of both BLM and p53 at the sites of stalled replication. The accumulation of BLM/53BP1 foci and the physical interaction between them was independent	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243892	641	7157	107110	113010	-	-	BLM	TP53	BS|RECQ2|RECQL2|RECQL3	BCC7|LFS1|P53|TRP53	Co-localization	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	BLM facilitated physical interaction between p53 and 53BP1, 53BP1 was required for efficient accumulation of both BLM and p53 at the sites of stalled replication. The accumulation of BLM/53BP1 foci and the physical interaction between them was independent	-	BIOGRID	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243893	641	7157	107110	113010	-	-	BLM	TP53	BS|RECQ2|RECQL2|RECQL3	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	BLM facilitated physical interaction between p53 and 53BP1, 53BP1 was required for efficient accumulation of both BLM and p53 at the sites of stalled replication. The accumulation of BLM/53BP1 foci and the physical interaction between them was independent	-	BIOGRID	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243894	7158	7157	113011	113010	-	-	TP53BP1	TP53	53BP1|p202	BCC7|LFS1|P53|TRP53	Co-localization	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	BLM facilitated physical interaction between p53 and 53BP1, 53BP1 was required for efficient accumulation of both BLM and p53 at the sites of stalled replication. The accumulation of BLM/53BP1 foci and the physical interaction between them was independent	-	BIOGRID	Q12888	-	NP_005648|NP_001135452|NP_001135451	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243895	7158	7157	113011	113010	-	-	TP53BP1	TP53	53BP1|p202	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	BLM facilitated physical interaction between p53 and 53BP1, 53BP1 was required for efficient accumulation of both BLM and p53 at the sites of stalled replication. The accumulation of BLM/53BP1 foci and the physical interaction between them was independent	-	BIOGRID	Q12888	-	NP_005648|NP_001135452|NP_001135451	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243971	672	7157	107140	113010	-	-	BRCA1	TP53	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Abramovitch S (2004)	PUBMED:14710355	9606	9606	Low Throughput	-	-	BRCA1 was able to suppress IGF-IR promoter activity both in the absence and presence of p53. However, BRCA1 had no effect in mutant p53-expressing cells	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
